===================================================================================================================
                                         ОТЧЕТ: СПИСОК ПОГИБШИХ ПЕРСОНАЖЕЙ                                         
===================================================================================================================
  id                                        имя                            дом                культура пол  возраст
1731                                      Holly                       Нет дома               Free Folk Муж     17.0
1732                                       Hugh                    House Arryn                 Valemen Муж     27.0
1734                               Hoster Tully                    House Tully                Rivermen Муж     62.0
1739                               Imry Florent                  House Florent              Неизвестно Муж     27.0
1741                            Jacelyn Bywater                  House Bywater              Неизвестно Муж     27.0
1745                                  Jon Arryn                    House Arryn                 Valemen Муж     81.0
1749                                      Kedry                       Нет дома              Неизвестно Муж     27.0
1752                            Kevan Lannister                House Lannister              Неизвестно Муж     56.0
1754                                     Lharys                  House Bracken              Неизвестно Муж     27.0
1756                               Larys Strong                   House Strong              Неизвестно Муж    100.0
1758                              Lewyn Martell                  House Martell                 Dornish Муж     27.0
1761                                 Lysa Arryn                    House Tully              Неизвестно Жен     34.0
1766                               Mark Ryswell                  House Ryswell                Northmen Жен     27.0
1768                              Maron Greyjoy                  House Greyjoy                Ironborn Муж     14.0
1769                              Martyn Cassel                   House Cassel                Northmen Жен     27.0
1773                             Mirri Maz Duur                       Нет дома               Lhazareen Жен     42.0
1774                                     Mikken                    House Stark                Northmen Муж     27.0
1777                                    Nettles                         Blacks              Неизвестно Жен    100.0
1780                              Ulf the White                         Blacks              Неизвестно Муж     27.0
1785                            Renly Baratheon                House Baratheon              Stormlands Муж     22.0
1790                                    Varamyr                       Нет дома               Free Folk Муж     27.0
1794                                 Vargo Hoat               Brave Companions                   Qohor Муж     27.0
1798                          Rhaella Targaryen                House Targaryen                Valyrian Муж     39.0
1799                            Tywin Lannister                House Lannister              Неизвестно Муж     58.0
1802                                Yellow Dick                   House Bolton                Westeros Муж     27.0
1803                                      Yoren                  Night's Watch                Westeros Жен     27.0
1807                                  Theo Wull                     House Wull Northern mountain clans Муж     27.0
1810                            Wendel Manderly                 House Manderly              Неизвестно Муж     45.0
1811                                Simon Toyne                    House Toyne              Неизвестно Жен     27.0
1812                          Steffon Baratheon                House Baratheon              Неизвестно Муж     32.0
1813                                   Shagwell               Brave Companions              Неизвестно Муж     27.0
1814                           Rickard Karstark                 House Karstark                Northmen Муж     27.0
1815                                    Senelle                House Lannister              Неизвестно Муж     27.0
1816                             Shiera Seastar                House Targaryen                Westeros Жен    100.0
1820                                Syrio Forel                    House Stark                Braavosi Жен     27.0
1821                              Rodrik Cassel                   House Cassel                Northmen Муж     27.0
1822                               Stevron Frey                     House Frey              Неизвестно Муж     66.0
1826                                      Rorge               Brave Companions              Неизвестно Муж     27.0
1827                              Rickard Stark                    House Stark                Northmen Муж     52.0
1828                          Visenya Targaryen                House Targaryen                Valyrian Жен     72.0
1830                          Viserys Targaryen                House Targaryen                Valyrian Муж     22.0
1835                                     Timeon               Brave Companions                 Dornish Муж     27.0
1837                                       Shae                       Нет дома              Неизвестно Жен     20.0
1840                             Rodrik Greyjoy                  House Greyjoy                Ironborn Муж     15.0
1845                              Willam Dustin                   House Dustin                Northmen Муж     27.0
1846                           Torrhen Karstark                 House Karstark                Northmen Муж     27.0
1848                                    Ygritte                   Mance Rayder                Wildling Муж     19.0
1849                           Tyland Lannister                House Lannister              Неизвестно Муж     27.0
1850                           Thoren Smallwood                  Night's Watch              Неизвестно Муж     27.0
1854                             Sandor Clegane                  House Clegane              Неизвестно Муж     30.0
1855                            Ulf son of Umar                  Moon Brothers     Vale mountain clans Муж     27.0
1859                          Kraznys mo Nakloz                   Good Masters                 Astapor Муж     27.0
1860                              Dacey Mormont                  House Mormont                Northmen Жен     47.0
1862                           Lyonel Baratheon                House Baratheon              Неизвестно Муж     27.0
1864                                Vardis Egen                     House Egen                 Valemen Муж     49.0
1868                               Jeor Mormont                  House Mormont                Northmen Муж     69.0
1869                                     Rhaego                House Targaryen              Неизвестно Жен     27.0
1872                               Rhaegar Frey                     House Frey              Неизвестно Муж     31.0
1875                                      Weese                    House Whent              Неизвестно Муж     27.0
1879                                Robar Royce                    House Royce                 Valemen Муж     22.0
1881                             Rhae Targaryen                House Targaryen                Valyrian Жен    100.0
1882                                 Ryman Frey                     House Frey              Неизвестно Муж     54.0
1887                                        Pyg               Brave Companions              Неизвестно Жен     27.0
1898                           Maelor Targaryen                House Targaryen              Неизвестно Муж      3.0
1901                         Alysanne Targaryen                       Нет дома              Неизвестно Жен     27.0
1902                            Baela Targaryen                House Targaryen                Valyrian Жен    100.0
1903                              Brandon Stark                    House Stark                Northmen Муж     20.0
1906                              Jafer Flowers                  Night's Watch              Неизвестно Муж     27.0
1908                                      Mycah                       Нет дома                Westeros Муж     13.0
1910                                    Rossart              Alchemists' Guild              Неизвестно Муж     27.0
1912                               Waymar Royce                    House Royce                 Valemen Муж     19.0
1913                                       Stiv                  Night's Watch               Wildlings Жен     27.0
1914                        Daemon II Blackfyre                House Blackfyre              Неизвестно Муж     23.0
1916                                Hugh Hammer                         Blacks              Неизвестно Муж     27.0
1919                          Rhaegar Targaryen                House Targaryen                Valyrian Муж     24.0
1920                                      Drogo                       Нет дома                Dothraki Жен     32.0
1922                                      Barra                House Baratheon              Неизвестно Муж      1.0
1930                            Stalwart Shield                      Unsullied              Неизвестно Жен     27.0
1935                             Rohanne Webber                   House Webber              Неизвестно Жен    100.0
1938                        Symon Silver Tongue                       Нет дома              Неизвестно Муж     27.0
1941                             Laena Velaryon                 House Velaryon                Valyrian Жен     27.0
1942                                      Luwin                    House Stark                Westeros Муж     27.0
1943                                       Reek                   House Bolton              Неизвестно Муж     27.0
1946                            Tytos Lannister                House Lannister              Неизвестно Муж     47.0
